depth	age	d18O	d13C	
182.34	8075	-9.59	-5.86	
182.38	8077	-9.73	-5.78	
182.43	8079	-9.88	-5.76	
182.47	8081.1	-9.81	-5.85	
182.52	8083.1	-9.82	-6.11	
182.56	8085.2	-9.78	-6.23	
182.61	8087.2	-9.7	-6.36	
182.65	8089.3	-9.59	-6.49	
182.7	8091.4	-9.6	-6.72	
182.74	8093.5	-9.5	-6.8	
182.79	8095.7	-9.6	-6.92	
182.83	8097.8	-9.52	-6.85	
182.87	8100	-9.46	-6.75	
182.92	8102.2	-9.55	-6.73	
182.96	8104.3	-9.59	-6.57	
183.01	8106.6	-9.66	-6.51	
183.05	8108.8	-9.7	-6.62	
183.1	8111	-9.67	-6.54	
183.14	8113.3	-9.67	-6.78	
183.19	8115.6	-9.48	-6.63	
183.23	8117.9	-9.28	-6.48	
183.28	8120.2	-9.11	-6.52	
183.32	8122.6	-9.07	-6.39	
183.37	8124.9	-9.07	-6.23	
183.41	8127.3	-8.95	-5.85	
183.46	8129.7	-9.09	-5.41	
183.5	8132.2	-9.02	-5.02	
183.54	8134.7	-9.06	-4.84	
183.59	8137.3	-9.1	-4.74	
183.63	8140	-9.1	-4.68	
183.68	8142.7	-9.09	-4.67	
183.72	8145.6	-9.25	-4.73	
183.77	8148.5	-9.2	-5.25	
183.81	8151.5	-9.37	-5.56	
183.86	8154.5	-9.25	-5.68	
183.9	8157.6	-9.24	-5.83	
183.95	8160.8	-9.23	-5.91	
183.99	8164	-9.24	-6.01	
184.04	8167.3	-9.24	-5.97	
184.08	8170.6	-9.22	-5.95	
184.13	8174	-9.16	-6.27	
184.17	8177.5	-9.17	-6.44	
184.22	8181	-9.21	-6.52	
184.26	8184.5	-9.16	-6.71	
184.3	8188.1	-9.34	-6.82	
184.35	8191.7	-9.21	-6.6	
184.39	8195.4	-9.14	-6.48	
184.44	8199.1	-9.2	-6.39	
184.48	8202.8	-9.18	-6.29	
184.53	8206.6	-9.19	-6.07	
184.57	8210.4	-9.12	-5.63	
184.62	8214.2	-9.11	-5.44	
184.66	8218	-9.4	-5.75	
184.71	8221.9	-9.16	-5.72	
184.75	8225.8	-9.2	-5.97	
184.8	8229.7	-9.08	-6.2	
184.84	8233.6	-9.03	-6.1	
184.89	8237.5	-8.84	-5.85	
184.93	8241.5	-9.02	-5.86	
184.98	8245.4	-8.94	-5.89	
185.02	8249.4	-9.45	-6.28	
185.06	8253.3	-9.34	-6.65	
185.11	8257.3	-9.34	-6.73	
185.15	8261.2	-9.26	-6.57	
185.2	8265.2	-9.43	-6.66	
185.24	8269.1	-9.3	-6.31	
185.29	8273.1	-9.32	-6.24	
185.33	8277	-9.27	-6.26	
185.38	8280.9	-9.37	-6.3	
185.42	8284.8	-9.41	-6.36	
185.47	8288.6	-9.58	-6.54	
185.51	8292.5	-9.72	-6.83	
185.56	8296.3	-9.88	-6.93	
185.6	8300.1	-9.68	-6.71	
185.65	8303.9	-9.58	-6.37	
185.69	8307.6	-9.6	-6.23	
185.74	8311.4	-9.87	-6.38	
185.78	8315	-9.81	-6.66	
185.82	8318.7	-9.65	-7.03	
185.87	8322.3	-9.82	-7.39	
185.91	8325.8	-9.83	-7.35	
185.96	8329.3	-9.69	-7.39	
186	8332.8	-9.74	-7.12	
186.05	8336.2	-9.78	-6.16	
186.09	8339.6	-9.89	-6.55	
186.14	8342.9	-9.85	-5.96	
186.18	8346.2	-9.91	-5.9	
186.23	8349.4	-9.82	-6.26	
186.27	8352.5	-9.97	-6.44	
186.32	8355.6	-9.79	-6.06	
186.36	8358.6	-9.95	-5.27	
186.41	8361.5	-9.86	-5.06	
186.45	8364.4	-10.03	-4.83	
186.5	8367.2	-9.88	-4.14	
186.54	8369.9	-10.04	-3.74	
186.58	8372.5	-10.04	-3.84	
186.67	8377.6	-10.02	-3.64	
186.72	8380.2	-9.96	-3.73	
186.76	8382.8	-9.89	-3.99	
186.81	8385.3	-10.05	-4.44	
186.85	8387.9	-9.89	-4.28	
186.9	8390.4	-9.98	-4.55	
186.94	8392.9	-9.77	-4.48	
186.99	8395.5	-9.91	-4.81	
187.03	8398	-9.77	-4.92	
187.08	8400.5	-9.87	-4.79	
187.12	8403	-9.92	-3.96	
187.17	8405.5	-10.06	-4.48	
187.21	8408	-9.95	-4.41	
187.26	8410.4	-9.92	-4.48	
187.3	8412.9	-9.73	-4.6	
187.34	8415.4	-9.99	-4.78	
187.39	8417.8	-9.72	-4.7	
187.43	8420.3	-9.75	-4.57	
187.48	8422.7	-9.6	-4.83	
187.52	8425.1	-9.86	-5.03	
187.57	8427.5	-9.73	-5.24	
187.61	8429.9	-9.85	-5.38	
187.66	8432.3	-9.8	-5.6	
187.7	8434.7	-9.97	-5.67	
187.75	8437.1	-9.66	-5.44	
187.79	8439.4	-9.75	-5.64	
187.84	8441.8	-9.7	-5.4	
187.88	8444.1	-9.82	-5.53	
187.93	8446.4	-9.74	-5.39	
187.97	8448.7	-9.73	-5.26	
188.01	8451	-9.76	-5.29	
188.06	8453.3	-10	-5.15	
188.1	8455.6	-9.82	-5.33	
188.15	8457.8	-9.89	-5.23	
188.19	8460.1	-9.92	-5.2	
188.24	8462.3	-10.15	-5.13	
188.28	8464.5	-10.11	-5.61	
188.33	8466.7	-10.03	-5.51	
188.37	8468.9	-10.11	-5.56	
188.42	8471.1	-10.26	-5.33	
188.46	8473.2	-9.99	-5.44	
188.51	8475.3	-10.16	-5.52	
188.55	8477.5	-10.08	-5.34	
188.6	8479.6	-10.24	-5.34	
188.64	8481.6	-10.07	-4.76	
188.69	8483.7	-9.98	-4.61	
188.73	8485.7	-9.87	-4.62	
188.77	8487.8	-10.21	-4.59	
188.82	8489.8	-9.85	-4.15	
188.86	8491.8	-10.49	-4.38	
188.91	8493.8	-9.98	-4.21	
188.95	8495.7	-10.13	-4.12	
189	8497.7	-10.07	-4.6	
189.04	8499.6	-9.97	-4.44	
189.09	8501.5	-9.86	-4.38	
189.13	8503.3	-10.02	-4.63	
189.18	8505.2	-9.78	-4.99	
189.22	8507	-9.8	-4.8	
189.27	8508.9	-9.7	-4.53	
189.31	8510.7	-9.91	-4.8	
189.36	8512.4	-9.75	-4.54	
189.4	8514.2	-9.82	-5.12	
189.45	8515.9	-9.68	-4.96	
189.49	8517.6	-10.03	-5.13	
189.53	8519.3	-9.78	-4.94	
189.58	8521	-9.94	-4.91	
189.62	8522.6	-9.84	-4.97	
189.67	8524.2	-10.04	-5.27	
189.71	8525.8	-9.9	-5.17	
189.76	8527.4	-9.93	-4.8	
189.8	8528.9	-9.91	-5.2	
189.85	8530.5	-9.92	-4.88	
189.89	8532	-9.85	-4.48	
189.94	8533.4	-10.06	-4.68	
189.98	8534.9	-9.95	-4.15	
190.03	8536.3	-9.95	-4.79	
190.07	8537.7	-10.11	-4.72	
190.12	8539.1	-9.92	-4.39	
190.16	8540.4	-9.99	-4.38	
190.21	8541.7	-10	-4.31	
190.29	8544.4	-9.97	-4.72	
190.38	8546.9	-9.86	-4.63	
190.47	8549.4	-9.78	-4.81	
190.56	8551.9	-10.05	-5.31	
190.65	8554.3	-10.04	-4.92	
190.74	8556.6	-9.96	-4.72	
190.83	8559	-10	-4.22	
190.92	8561.3	-9.99	-4.36	
191.01	8563.5	-9.87	-4.42	
191.1	8565.8	-9.9	-4.9	
191.19	8568	-9.97	-5.28	
191.28	8570.2	-9.95	-5.16	
191.37	8572.5	-9.89	-4.86	
191.46	8574.7	-10.02	-4.82	
191.55	8576.9	-10.1	-4.77	
191.64	8579.1	-9.93	-4.49	
191.73	8581.3	-9.74	-4.35	
191.81	8583.6	-9.77	-4.9	
191.9	8585.9	-9.58	-5.05	
191.99	8588.2	-9.72	-4.88	
192.08	8590.5	-9.81	-4.83	
192.17	8592.9	-9.97	-5.23	
192.26	8595.3	-9.95	-5.03	
192.35	8597.8	-9.84	-4.85	
192.44	8600.3	-9.71	-4.82	
192.53	8602.9	-9.82	-4.72	
192.62	8605.5	-9.79	-4.33	
